Country,Year,Income,Educational Level
Belgium,2023,23600,Level 0-2
Bulgaria,2023,4172,Level 0-2
Czechia,2023,11887,Level 0-2
Denmark,2023,34889,Level 0-2
Germany,2023,23687,Level 0-2
Estonia,2023,14043,Level 0-2
Ireland,2023,28371,Level 0-2
Greece,2023,8742,Level 0-2
Spain,2023,15769,Level 0-2
France,2023,20832,Level 0-2
Croatia,2023,7999,Level 0-2
Italy,2023,18175,Level 0-2
Cyprus,2023,16403,Level 0-2
Latvia,2023,10206,Level 0-2
Lithuania,2023,9314,Level 0-2
Luxembourg,2023,37045,Level 0-2
Hungary,2023,5868,Level 0-2
Malta,2023,18254,Level 0-2
Netherlands,2023,27755,Level 0-2
Austria,2023,26533,Level 0-2
Poland,2023,8214,Level 0-2
Portugal,2023,11098,Level 0-2
Romania,2023,4198,Level 0-2
Slovenia,2023,15487,Level 0-2
Slovakia,2023,6585,Level 0-2
Finland,2023,29246,Level 0-2
Sweden,2023,23571,Level 0-2
Iceland,2023,,Level 0-2
Norway,2023,40909,Level 0-2
Switzerland,2023,44282,Level 0-2
United Kingdom,2023,,Level 0-2
Montenegro,2023,,Level 0-2
North Macedonia,2023,,Level 0-2
Albania,2023,,Level 0-2
Serbia,2023,,Level 0-2
Türkiye,2023,3402,Level 0-2
Belgium,2022,21914,Level 0-2
Bulgaria,2022,3561,Level 0-2
Czechia,2022,10958,Level 0-2
Denmark,2022,34441,Level 0-2
Germany,2022,22514,Level 0-2
Estonia,2022,13352,Level 0-2
Ireland,2022,26922,Level 0-2
Greece,2022,8143,Level 0-2
Spain,2022,14712,Level 0-2
France,2022,19894,Level 0-2
Croatia,2022,7194,Level 0-2
Italy,2022,17139,Level 0-2
Cyprus,2022,15466,Level 0-2
Latvia,2022,8682,Level 0-2
Lithuania,2022,9040,Level 0-2
Luxembourg,2022,36595,Level 0-2
Hungary,2022,5818,Level 0-2
Malta,2022,17451,Level 0-2
Netherlands,2022,27595,Level 0-2
Austria,2022,23130,Level 0-2
Poland,2022,7614,Level 0-2
Portugal,2022,10083,Level 0-2
Romania,2022,3658,Level 0-2
Slovenia,2022,14514,Level 0-2
Slovakia,2022,6301,Level 0-2
Finland,2022,26461,Level 0-2
Sweden,2022,23838,Level 0-2
Iceland,2022,,Level 0-2
Norway,2022,37643,Level 0-2
Switzerland,2022,38675,Level 0-2
United Kingdom,2022,,Level 0-2
Montenegro,2022,3498,Level 0-2
North Macedonia,2022,,Level 0-2
Albania,2022,,Level 0-2
Serbia,2022,3498,Level 0-2
Türkiye,2022,3199,Level 0-2
Belgium,2021,21323,Level 0-2
Bulgaria,2021,3904,Level 0-2
Czechia,2021,9695,Level 0-2
Denmark,2021,31276,Level 0-2
Germany,2021,22677,Level 0-2
Estonia,2021,11475,Level 0-2
Ireland,2021,25406,Level 0-2
Greece,2021,7376,Level 0-2
Spain,2021,13550,Level 0-2
France,2021,19866,Level 0-2
Croatia,2021,6618,Level 0-2
Italy,2021,15938,Level 0-2
Cyprus,2021,15054,Level 0-2
Latvia,2021,7892,Level 0-2
Lithuania,2021,8789,Level 0-2
Luxembourg,2021,34895,Level 0-2
Hungary,2021,4971,Level 0-2
Malta,2021,16181,Level 0-2
Netherlands,2021,26055,Level 0-2
Austria,2021,23439,Level 0-2
Poland,2021,6879,Level 0-2
Portugal,2021,10033,Level 0-2
Romania,2021,3133,Level 0-2
Slovenia,2021,13312,Level 0-2
Slovakia,2021,6199,Level 0-2
Finland,2021,26241,Level 0-2
Sweden,2021,21815,Level 0-2
Iceland,2021,,Level 0-2
Norway,2021,34828,Level 0-2
Switzerland,2021,40381,Level 0-2
United Kingdom,2021,,Level 0-2
Montenegro,2021,2985,Level 0-2
North Macedonia,2021,,Level 0-2
Albania,2021,2388,Level 0-2
Serbia,2021,3019,Level 0-2
Türkiye,2021,2978,Level 0-2
Belgium,2020,21586,Level 0-2
Bulgaria,2020,3140,Level 0-2
Czechia,2020,9614,Level 0-2
