Country,Year,Population Percent,Educational Level
Belgium,2017,27.2,Level 0-2
Bulgaria,2017,21.4,Level 0-2
Czechia,2017,12.1,Level 0-2
Denmark,2017,26.7,Level 0-2
Germany,2017,19.8,Level 0-2
Estonia,2017,17.7,Level 0-2
Ireland,2017,21.8,Level 0-2
Greece,2017,29.3,Level 0-2
Spain,2017,41.8,Level 0-2
France,2017,25.2,Level 0-2
Croatia,2017,19.8,Level 0-2
Italy,2017,40.9,Level 0-2
Cyprus,2017,22.9,Level 0-2
Latvia,2017,15.2,Level 0-2
Lithuania,2017,12,Level 0-2
Luxembourg,2017,30.5,Level 0-2
Hungary,2017,21.1,Level 0-2
Malta,2017,44.2,Level 0-2
Netherlands,2017,26.6,Level 0-2
Austria,2017,19.3,Level 0-2
Poland,2017,13.9,Level 0-2
Portugal,2017,51.6,Level 0-2
Romania,2017,27,Level 0-2
Slovenia,2017,16.7,Level 0-2
Slovakia,2017,14.8,Level 0-2
Finland,2017,18.4,Level 0-2
Sweden,2017,21.1,Level 0-2
Iceland,2017,29.7,Level 0-2
Norway,2017,24.9,Level 0-2
Switzerland,2017,17.8,Level 0-2
United Kingdom,2017,20,Level 0-2
Bosnia and Herzegovina,2017,:,Level 0-2
Montenegro,2017,19.5,Level 0-2
North Macedonia,2017,32,Level 0-2
Serbia,2017,23,Level 0-2
Türkiye,2017,63.4,Level 0-2
Belgium,2018,26.3,Level 0-2
Bulgaria,2018,21.5,Level 0-2
Czechia,2018,12.1,Level 0-2
Denmark,2018,26.5,Level 0-2
Germany,2018,19.6,Level 0-2
Estonia,2018,17.9,Level 0-2
Ireland,2018,21.5,Level 0-2
Greece,2018,28.7,Level 0-2
Spain,2018,40.8,Level 0-2
France,2018,24.4,Level 0-2
Croatia,2018,18.6,Level 0-2
Italy,2018,40.2,Level 0-2
Cyprus,2018,21.9,Level 0-2
Latvia,2018,15.3,Level 0-2
Lithuania,2018,11.7,Level 0-2
Luxembourg,2018,27.6,Level 0-2
Hungary,2018,20.1,Level 0-2
Malta,2018,41,Level 0-2
Netherlands,2018,26,Level 0-2
Austria,2018,18.9,Level 0-2
Poland,2018,13.5,Level 0-2
Portugal,2018,49.9,Level 0-2
Romania,2018,26.3,Level 0-2
Slovenia,2018,16.4,Level 0-2
Slovakia,2018,14.4,Level 0-2
Finland,2018,17.7,Level 0-2
Sweden,2018,20.9,Level 0-2
Iceland,2018,29,Level 0-2
Norway,2018,23.9,Level 0-2
Switzerland,2018,17.2,Level 0-2
United Kingdom,2018,19.7,Level 0-2
Bosnia and Herzegovina,2018,:,Level 0-2
Montenegro,2018,18.6,Level 0-2
North Macedonia,2018,31.6,Level 0-2
Serbia,2018,22.5,Level 0-2
Türkiye,2018,62.3,Level 0-2
Belgium,2019,25.9,Level 0-2
Bulgaria,2019,21.5,Level 0-2
Czechia,2019,12.3,Level 0-2
Denmark,2019,26,Level 0-2
Germany,2019,19.5,Level 0-2
Estonia,2019,17.1,Level 0-2
Ireland,2019,21,Level 0-2
Greece,2019,25.9,Level 0-2
Spain,2019,39.6,Level 0-2
France,2019,23.4,Level 0-2
Croatia,2019,18,Level 0-2
Italy,2019,39.7,Level 0-2
Cyprus,2019,21,Level 0-2
Latvia,2019,14.9,Level 0-2
Lithuania,2019,11.1,Level 0-2
Luxembourg,2019,26.7,Level 0-2
Hungary,2019,19.9,Level 0-2
Malta,2019,38.8,Level 0-2
Netherlands,2019,25.5,Level 0-2
Austria,2019,18.7,Level 0-2
Poland,2019,13.2,Level 0-2
Portugal,2019,47.5,Level 0-2
Romania,2019,25.1,Level 0-2
Slovenia,2019,15.8,Level 0-2
Slovakia,2019,14.5,Level 0-2
Finland,2019,16.9,Level 0-2
Sweden,2019,20.8,Level 0-2
Iceland,2019,27.6,Level 0-2
Norway,2019,23.7,Level 0-2
Switzerland,2019,16.5,Level 0-2
United Kingdom,2019,19.1,Level 0-2
Bosnia and Herzegovina,2019,:,Level 0-2
Montenegro,2019,17.4,Level 0-2
North Macedonia,2019,30.6,Level 0-2
Serbia,2019,22.1,Level 0-2
Türkiye,2019,60.5,Level 0-2
Belgium,2020,25,Level 0-2
Bulgaria,2020,21,Level 0-2
Czechia,2020,12.3,Level 0-2
Denmark,2020,25.9,Level 0-2
Germany,2020,20,Level 0-2
Estonia,2020,16.8,Level 0-2
Ireland,2020,19.6,Level 0-2
Greece,2020,24.3,Level 0-2
Spain,2020,38.2,Level 0-2
France,2020,22.3,Level 0-2
Croatia,2020,17.4,Level 0-2
Italy,2020,39.5,Level 0-2
Cyprus,2020,20.5,Level 0-2
Latvia,2020,14.6,Level 0-2
Lithuania,2020,10.8,Level 0-2
Luxembourg,2020,27.2,Level 0-2
Hungary,2020,19.6,Level 0-2
Malta,2020,36.9,Level 0-2
Netherlands,2020,24,Level 0-2
Austria,2020,18.7,Level 0-2
Poland,2020,12.9,Level 0-2
Portugal,2020,45.4,Level 0-2
Romania,2020,23.7,Level 0-2
Slovenia,2020,14.5,Level 0-2
Slovakia,2020,13.5,Level 0-2
Finland,2020,15.9,Level 0-2
Sweden,2020,20.7,Level 0-2
Iceland,2020,27.6,Level 0-2
Norway,2020,23.5,Level 0-2
Switzerland,2020,16.2,Level 0-2
United Kingdom,2020,:,Level 0-2
Bosnia and Herzegovina,2020,:,Level 0-2
Montenegro,2020,17.9,Level 0-2
North Macedonia,2020,29.7,Level 0-2
Serbia,2020,21.3,Level 0-2
Türkiye,2020,58.7,Level 0-2
Belgium,2021,22.7,Level 0-2
Bulgaria,2021,20.5,Level 0-2
Czechia,2021,12,Level 0-2
Denmark,2021,25.5,Level 0-2
Germany,2021,22,Level 0-2
Estonia,2021,16.7,Level 0-2
Ireland,2021,17.7,Level 0-2
Greece,2021,23.5,Level 0-2
Spain,2021,38.3,Level 0-2
France,2021,22.1,Level 0-2
Croatia,2021,16.8,Level 0-2
Italy,2021,39.2,Level 0-2
Cyprus,2021,19.2,Level 0-2
Latvia,2021,14.2,Level 0-2
Lithuania,2021,10.9,Level 0-2
Luxembourg,2021,25.1,Level 0-2
Hungary,2021,19.1,Level 0-2
Malta,2021,34,Level 0-2
Netherlands,2021,23.6,Level 0-2
Austria,2021,18.5,Level 0-2
Poland,2021,12.9,Level 0-2
Portugal,2021,42.6,Level 0-2
Romania,2021,21.6,Level 0-2
Slovenia,2021,13.3,Level 0-2
Slovakia,2021,13.2,Level 0-2
Finland,2021,18.2,Level 0-2
Sweden,2021,20.2,Level 0-2
Iceland,2021,24.8,Level 0-2
Norway,2021,24.7,Level 0-2
Switzerland,2021,17.5,Level 0-2
United Kingdom,2021,:,Level 0-2
Bosnia and Herzegovina,2021,23,Level 0-2
Montenegro,2021,:,Level 0-2
North Macedonia,2021,:,Level 0-2
Serbia,2021,21.5,Level 0-2
Türkiye,2021,56.7,Level 0-2
Belgium,2022,21.7,Level 0-2
Bulgaria,2022,19.6,Level 0-2
Czechia,2022,12.3,Level 0-2
Denmark,2022,25.8,Level 0-2
Germany,2022,23.3,Level 0-2
Estonia,2022,16.9,Level 0-2
Ireland,2022,17.5,Level 0-2
Greece,2022,22.7,Level 0-2
Spain,2022,38.1,Level 0-2
France,2022,21.3,Level 0-2
Croatia,2022,16,Level 0-2
Italy,2022,38.8,Level 0-2
Cyprus,2022,18.4,Level 0-2
Latvia,2022,14.9,Level 0-2
Lithuania,2022,11.3,Level 0-2
Luxembourg,2022,24.2,Level 0-2
Hungary,2022,18.6,Level 0-2
Malta,2022,31.5,Level 0-2
Netherlands,2022,23,Level 0-2
Austria,2022,18.6,Level 0-2
Poland,2022,12.7,Level 0-2
Portugal,2022,41.5,Level 0-2
Romania,2022,20.7,Level 0-2
Slovenia,2022,13.8,Level 0-2
Slovakia,2022,12.8,Level 0-2
Finland,2022,18.1,Level 0-2
Sweden,2022,19.5,Level 0-2
Iceland,2022,25.3,Level 0-2
Norway,2022,25,Level 0-2
Switzerland,2022,18.6,Level 0-2
United Kingdom,2022,:,Level 0-2
Bosnia and Herzegovina,2022,22.9,Level 0-2
Montenegro,2022,:,Level 0-2
North Macedonia,2022,:,Level 0-2
Serbia,2022,20.5,Level 0-2
Türkiye,2022,54.9,Level 0-2
Belgium,2023,22.5,Level 0-2
Bulgaria,2023,18.7,Level 0-2
Czechia,2023,13.4,Level 0-2
Denmark,2023,25.6,Level 0-2
Germany,2023,23.1,Level 0-2
Estonia,2023,17.5,Level 0-2
Ireland,2023,17.4,Level 0-2
Greece,2023,22.4,Level 0-2
Spain,2023,37.7,Level 0-2
France,2023,21.1,Level 0-2
Croatia,2023,15.2,Level 0-2
Italy,2023,36.7,Level 0-2
Cyprus,2023,17.7,Level 0-2
Latvia,2023,16,Level 0-2
Lithuania,2023,11.6,Level 0-2
Luxembourg,2023,23.7,Level 0-2
Hungary,2023,18.1,Level 0-2
Malta,2023,29.6,Level 0-2
Netherlands,2023,23.6,Level 0-2
Austria,2023,18.5,Level 0-2
Poland,2023,12,Level 0-2
Portugal,2023,41.1,Level 0-2
Romania,2023,22.3,Level 0-2
Slovenia,2023,16.4,Level 0-2
Slovakia,2023,12.8,Level 0-2
Finland,2023,18.5,Level 0-2
Sweden,2023,19.2,Level 0-2
Iceland,2023,23.8,Level 0-2
Norway,2023,24.1,Level 0-2
Switzerland,2023,18.5,Level 0-2
United Kingdom,2023,:,Level 0-2
Bosnia and Herzegovina,2023,22.9,Level 0-2
Montenegro,2023,:,Level 0-2
North Macedonia,2023,:,Level 0-2
Serbia,2023,19.8,Level 0-2
Türkiye,2023,53.1,Level 0-2
Belgium,2017,37.1,Level 3-4
Bulgaria,2017,54.1,Level 3-4
Czechia,2017,66.5,Level 3-4
Denmark,2017,41.1,Level 3-4
Germany,2017,55.4,Level 3-4
Estonia,2017,48.7,Level 3-4
Ireland,2017,37.8,Level 3-4
Greece,2017,43.6,Level 3-4
Spain,2017,24.9,Level 3-4
France,2017,43.3,Level 3-4
Croatia,2017,59.6,Level 3-4
Italy,2017,42.6,Level 3-4
Cyprus,2017,39,Level 3-4
Latvia,2017,54.8,Level 3-4
Lithuania,2017,53.2,Level 3-4
Luxembourg,2017,35.4,Level 3-4
Hungary,2017,58,Level 3-4
Malta,2017,33.7,Level 3-4
Netherlands,2017,41.3,Level 3-4
Austria,2017,51,Level 3-4
Poland,2017,59.8,Level 3-4
Portugal,2017,26.6,Level 3-4
Romania,2017,57.7,Level 3-4
Slovenia,2017,54.6,Level 3-4
Slovakia,2017,64.5,Level 3-4
Finland,2017,45.2,Level 3-4
Sweden,2017,42.9,Level 3-4
Iceland,2017,35,Level 3-4
Norway,2017,38.3,Level 3-4
Switzerland,2017,45.5,Level 3-4
United Kingdom,2017,41.3,Level 3-4
Bosnia and Herzegovina,2017,:,Level 3-4
Montenegro,2017,60,Level 3-4
North Macedonia,2017,50.1,Level 3-4
Serbia,2017,57.2,Level 3-4
Türkiye,2017,20,Level 3-4
Belgium,2018,37.7,Level 3-4
Bulgaria,2018,53.6,Level 3-4
Czechia,2018,66.2,Level 3-4
Denmark,2018,40.9,Level 3-4
Germany,2018,55.2,Level 3-4
Estonia,2018,48,Level 3-4
Ireland,2018,38,Level 3-4
Greece,2018,43.6,Level 3-4
Spain,2018,25.2,Level 3-4
France,2018,42.8,Level 3-4
Croatia,2018,59.5,Level 3-4
Italy,2018,42.6,Level 3-4
Cyprus,2018,38.7,Level 3-4
Latvia,2018,54.7,Level 3-4
Lithuania,2018,52.3,Level 3-4
Luxembourg,2018,34.2,Level 3-4
Hungary,2018,58.2,Level 3-4
Malta,2018,34.3,Level 3-4
Netherlands,2018,40.9,Level 3-4
Austria,2018,51,Level 3-4
Poland,2018,59.3,Level 3-4
Portugal,2018,27.5,Level 3-4
Romania,2018,58.2,Level 3-4
Slovenia,2018,54.9,Level 3-4
Slovakia,2018,63.6,Level 3-4
Finland,2018,45.1,Level 3-4
Sweden,2018,42,Level 3-4
Iceland,2018,34.5,Level 3-4
Norway,2018,38.6,Level 3-4
Switzerland,2018,45,Level 3-4
United Kingdom,2018,41,Level 3-4
Bosnia and Herzegovina,2018,:,Level 3-4
Montenegro,2018,61.1,Level 3-4
North Macedonia,2018,50.9,Level 3-4
Serbia,2018,57.1,Level 3-4
Türkiye,2018,20.4,Level 3-4
Belgium,2019,38.1,Level 3-4
Bulgaria,2019,53.9,Level 3-4
Czechia,2019,66.1,Level 3-4
Denmark,2019,40.6,Level 3-4
Germany,2019,54.5,Level 3-4
Estonia,2019,48.2,Level 3-4
Ireland,2019,38.3,Level 3-4
Greece,2019,46.3,Level 3-4
Spain,2019,25.3,Level 3-4
France,2019,42.8,Level 3-4
Croatia,2019,59.9,Level 3-4
Italy,2019,42.8,Level 3-4
Cyprus,2019,38.6,Level 3-4
Latvia,2019,53.8,Level 3-4
Lithuania,2019,51,Level 3-4
Luxembourg,2019,32.3,Level 3-4
Hungary,2019,57.6,Level 3-4
Malta,2019,34.1,Level 3-4
Netherlands,2019,39.7,Level 3-4
Austria,2019,50.2,Level 3-4
Poland,2019,58.2,Level 3-4
Portugal,2019,28.7,Level 3-4
Romania,2019,58.9,Level 3-4
Slovenia,2019,54.9,Level 3-4
Slovakia,2019,62.3,Level 3-4
Finland,2019,44.6,Level 3-4
Sweden,2019,41.5,Level 3-4
Iceland,2019,34.6,Level 3-4
Norway,2019,38.6,Level 3-4
Switzerland,2019,44.9,Level 3-4
United Kingdom,2019,40.2,Level 3-4
Bosnia and Herzegovina,2019,:,Level 3-4
Montenegro,2019,60.7,Level 3-4
North Macedonia,2019,51,Level 3-4
Serbia,2019,57.3,Level 3-4
Türkiye,2019,21.1,Level 3-4
Belgium,2020,37.4,Level 3-4
Bulgaria,2020,53.2,Level 3-4
Czechia,2020,65.6,Level 3-4
Denmark,2020,40.4,Level 3-4
Germany,2020,52.8,Level 3-4
Estonia,2020,48.1,Level 3-4
Ireland,2020,37.6,Level 3-4
Greece,2020,47.2,Level 3-4
Spain,2020,25.8,Level 3-4
France,2020,42.4,Level 3-4
Croatia,2020,60.3,Level 3-4
Italy,2020,42.7,Level 3-4
Cyprus,2020,38.5,Level 3-4
Latvia,2020,52.2,Level 3-4
Lithuania,2020,50.5,Level 3-4
Luxembourg,2020,31.9,Level 3-4
Hungary,2020,56.8,Level 3-4
Malta,2020,34.9,Level 3-4
Netherlands,2020,39.4,Level 3-4
Austria,2020,50,Level 3-4
Poland,2020,57.8,Level 3-4
Portugal,2020,29.8,Level 3-4
Romania,2020,60.1,Level 3-4
Slovenia,2020,54,Level 3-4
Slovakia,2020,62.6,Level 3-4
Finland,2020,44.2,Level 3-4
Sweden,2020,41.1,Level 3-4
Iceland,2020,35.6,Level 3-4
Norway,2020,37.7,Level 3-4
