Country,Year,Unemployment Rate,Educational Level
Belgium,2023,13.4,Level 0-2
Bulgaria,2023,13.1,Level 0-2
Czechia,2023,13,Level 0-2
Denmark,2023,9.1,Level 0-2
Germany,2023,6.5,Level 0-2
Estonia,2023,13.1,Level 0-2
Ireland,2023,9.6,Level 0-2
Greece,2023,12.8,Level 0-2
Spain,2023,18.1,Level 0-2
France,2023,13.7,Level 0-2
Croatia,2023,12.4,Level 0-2
Italy,2023,11.7,Level 0-2
Cyprus,2023,7,Level 0-2
Latvia,2023,13.5,Level 0-2
Lithuania,2023,18.5,Level 0-2
Luxembourg,2023,8.9,Level 0-2
Hungary,2023,12.9,Level 0-2
Malta,2023,5.3,Level 0-2
Netherlands,2023,5.9,Level 0-2
Austria,2023,12,Level 0-2
Poland,2023,7.1,Level 0-2
Portugal,2023,7.7,Level 0-2
Romania,2023,14.9,Level 0-2
Slovenia,2023,9,Level 0-2
Slovakia,2023,38.1,Level 0-2
Finland,2023,16.8,Level 0-2
Sweden,2023,25.6,Level 0-2
Iceland,2023,6.8,Level 0-2
Norway,2023,9.4,Level 0-2
Switzerland,2023,8,Level 0-2
United Kingdom,2023,,Level 0-2
Bosnia and Herzegovina,2023,23.7,Level 0-2
Montenegro,2023,,Level 0-2
North Macedonia,2023,,Level 0-2
Serbia,2023,14.7,Level 0-2
Türkiye,2023,8.3,Level 0-2
Belgium,2022,13.4,Level 0-2
Bulgaria,2022,12.8,Level 0-2
Czechia,2022,13,Level 0-2
Denmark,2022,8,Level 0-2
Germany,2022,6.8,Level 0-2
Estonia,2022,12.6,Level 0-2
Ireland,2022,9.7,Level 0-2
Greece,2022,15.3,Level 0-2
Spain,2022,19.5,Level 0-2
France,2022,13.6,Level 0-2
Croatia,2022,11.9,Level 0-2
Italy,2022,12,Level 0-2
Cyprus,2022,7.7,Level 0-2
Latvia,2022,15.2,Level 0-2
Lithuania,2022,16.8,Level 0-2
Luxembourg,2022,8.8,Level 0-2
Hungary,2022,11.6,Level 0-2
Malta,2022,4.4,Level 0-2
Netherlands,2022,5.8,Level 0-2
Austria,2022,11.6,Level 0-2
Poland,2022,8.1,Level 0-2
Portugal,2022,7.1,Level 0-2
Romania,2022,14.6,Level 0-2
Slovenia,2022,9.6,Level 0-2
Slovakia,2022,41.1,Level 0-2
Finland,2022,15.7,Level 0-2
Sweden,2022,26.2,Level 0-2
Iceland,2022,7.5,Level 0-2
Norway,2022,8.1,Level 0-2
Switzerland,2022,8.4,Level 0-2
United Kingdom,2022,,Level 0-2
Bosnia and Herzegovina,2022,26.1,Level 0-2
Montenegro,2022,,Level 0-2
North Macedonia,2022,,Level 0-2
Serbia,2022,14.2,Level 0-2
Türkiye,2022,9.4,Level 0-2
Belgium,2021,14.7,Level 0-2
Bulgaria,2021,16.2,Level 0-2
Czechia,2021,13.2,Level 0-2
Denmark,2021,8.7,Level 0-2
Germany,2021,8,Level 0-2
Estonia,2021,15,Level 0-2
Ireland,2021,11.5,Level 0-2
Greece,2021,17.4,Level 0-2
Spain,2021,21.7,Level 0-2
France,2021,14.6,Level 0-2
Croatia,2021,11.4,Level 0-2
Italy,2021,13.7,Level 0-2
Cyprus,2021,8.6,Level 0-2
Latvia,2021,15.1,Level 0-2
Lithuania,2021,16.9,Level 0-2
Luxembourg,2021,8.6,Level 0-2
Hungary,2021,11,Level 0-2
Malta,2021,5.4,Level 0-2
Netherlands,2021,7.2,Level 0-2
Austria,2021,14,Level 0-2
Poland,2021,8.4,Level 0-2
Portugal,2021,7,Level 0-2
Romania,2021,14,Level 0-2
Slovenia,2021,9.5,Level 0-2
Slovakia,2021,42.1,Level 0-2
Finland,2021,17.6,Level 0-2
