Country Name,Year,Value,Disaggregation
Albania,2019,55.178,"Basic, total"
Albania,2018,54.205,"Basic, total"
Albania,2017,52.049,"Basic, total"
Austria,2023,38.93,"Basic, total"
Austria,2022,38.037,"Basic, total"
Austria,2021,38.075,"Basic, total"
Austria,2020,37.284,"Basic, total"
Austria,2019,36.93,"Basic, total"
Austria,2018,36.994,"Basic, total"
Austria,2017,37.0,"Basic, total"
Belgium,2023,26.624,"Basic, total"
Belgium,2022,27.702,"Basic, total"
Belgium,2021,27.117,"Basic, total"
Belgium,2020,26.914,"Basic, total"
Belgium,2019,29.172,"Basic, total"
Belgium,2018,28.385,"Basic, total"
Belgium,2017,30.448,"Basic, total"
Bosnia and Herzegovina,2023,25.439,"Basic, total"
Bosnia and Herzegovina,2022,24.718,"Basic, total"
Bosnia and Herzegovina,2021,24.518,"Basic, total"
Bosnia and Herzegovina,2020,22.436,"Basic, total"
Bosnia and Herzegovina,2019,22.011,"Basic, total"
Bosnia and Herzegovina,2018,21.145,"Basic, total"
Bosnia and Herzegovina,2017,23.872,"Basic, total"
Bulgaria,2023,27.31,"Basic, total"
Bulgaria,2022,28.691,"Basic, total"
Bulgaria,2021,27.137,"Basic, total"
Bulgaria,2020,28.881,"Basic, total"
Bulgaria,2019,29.839,"Basic, total"
Bulgaria,2018,27.23,"Basic, total"
Bulgaria,2017,27.178,"Basic, total"
Croatia,2023,15.495,"Basic, total"
Croatia,2022,17.172,"Basic, total"
Croatia,2021,18.205,"Basic, total"
Croatia,2020,16.924,"Basic, total"
Croatia,2019,17.794,"Basic, total"
Croatia,2018,17.797,"Basic, total"
Croatia,2017,18.944,"Basic, total"
Denmark,2023,46.13,"Basic, total"
Denmark,2022,45.561,"Basic, total"
Denmark,2021,43.856,"Basic, total"
Denmark,2020,43.0,"Basic, total"
Denmark,2019,43.229,"Basic, total"
Denmark,2018,42.635,"Basic, total"
Denmark,2017,43.242,"Basic, total"
Estonia,2023,37.735,"Basic, total"
Estonia,2022,36.933,"Basic, total"
Estonia,2021,34.305,"Basic, total"
Estonia,2020,40.782,"Basic, total"
Estonia,2019,42.294,"Basic, total"
Estonia,2018,46.009,"Basic, total"
Estonia,2017,44.757,"Basic, total"
Finland,2023,33.65,"Basic, total"
Finland,2022,30.931,"Basic, total"
Finland,2021,28.641,"Basic, total"
Finland,2020,27.365,"Basic, total"
Finland,2019,27.69,"Basic, total"
Finland,2018,28.528,"Basic, total"
Finland,2017,27.82,"Basic, total"
France,2023,28.72,"Basic, total"
France,2022,28.454,"Basic, total"
France,2021,28.275,"Basic, total"
France,2020,27.624,"Basic, total"
France,2019,28.477,"Basic, total"
France,2018,29.408,"Basic, total"
France,2017,30.15,"Basic, total"
Germany,2023,45.873,"Basic, total"
Germany,2022,45.097,"Basic, total"
Germany,2021,42.492,"Basic, total"
Germany,2020,41.41,"Basic, total"
Germany,2019,40.901,"Basic, total"
Germany,2018,39.9,"Basic, total"
Germany,2017,39.606,"Basic, total"
Greece,2023,27.898,"Basic, total"
Greece,2022,28.287,"Basic, total"
Greece,2021,27.993,"Basic, total"
Greece,2020,26.873,"Basic, total"
Greece,2019,28.76,"Basic, total"
Greece,2018,31.158,"Basic, total"
Greece,2017,32.253,"Basic, total"
Hungary,2023,32.872,"Basic, total"
Hungary,2022,30.462,"Basic, total"
Hungary,2021,30.129,"Basic, total"
Hungary,2020,28.402,"Basic, total"
Hungary,2019,28.635,"Basic, total"
Hungary,2018,28.519,"Basic, total"
Hungary,2017,28.198,"Basic, total"
Iceland,2023,63.828,"Basic, total"
Iceland,2022,63.224,"Basic, total"
Iceland,2021,60.064,"Basic, total"
Iceland,2020,66.26,"Basic, total"
Iceland,2019,68.861,"Basic, total"
Iceland,2018,70.773,"Basic, total"
Iceland,2017,71.585,"Basic, total"
Ireland,2023,31.369,"Basic, total"
Ireland,2022,29.8,"Basic, total"
Ireland,2021,30.487,"Basic, total"
Ireland,2020,28.682,"Basic, total"
Ireland,2019,30.96,"Basic, total"
Ireland,2018,30.574,"Basic, total"
Ireland,2017,31.201,"Basic, total"
Italy,2023,32.597,"Basic, total"
Italy,2022,32.908,"Basic, total"
Italy,2021,32.608,"Basic, total"
Italy,2020,32.996,"Basic, total"
Italy,2019,34.591,"Basic, total"
Italy,2018,34.916,"Basic, total"
Italy,2017,35.087,"Basic, total"
Latvia,2023,31.28,"Basic, total"
Latvia,2022,30.082,"Basic, total"
Latvia,2021,26.853,"Basic, total"
Latvia,2020,38.859,"Basic, total"
Latvia,2019,39.095,"Basic, total"
Latvia,2018,37.627,"Basic, total"
Latvia,2017,37.849,"Basic, total"
Lithuania,2023,23.89,"Basic, total"
Lithuania,2022,21.67,"Basic, total"
Lithuania,2021,21.01,"Basic, total"
Lithuania,2020,19.427,"Basic, total"
Lithuania,2019,18.641,"Basic, total"
Lithuania,2018,17.773,"Basic, total"
Lithuania,2017,16.488,"Basic, total"
Luxembourg,2023,40.143,"Basic, total"
Luxembourg,2022,39.523,"Basic, total"
Luxembourg,2021,40.469,"Basic, total"
Luxembourg,2020,40.435,"Basic, total"
Luxembourg,2019,39.468,"Basic, total"
Luxembourg,2018,38.643,"Basic, total"
Luxembourg,2017,36.621,"Basic, total"
Malta,2023,43.563,"Basic, total"
Malta,2022,50.972,"Basic, total"
Malta,2021,50.993,"Basic, total"
Malta,2020,50.999,"Basic, total"
Malta,2019,50.84,"Basic, total"
Malta,2018,49.004,"Basic, total"
Malta,2017,46.687,"Basic, total"
Montenegro,2022,21.179,"Basic, total"
Montenegro,2021,19.946,"Basic, total"
Montenegro,2020,21.786,"Basic, total"
Montenegro,2019,25.436,"Basic, total"
Montenegro,2018,24.949,"Basic, total"
Montenegro,2017,24.933,"Basic, total"
Netherlands,2023,49.552,"Basic, total"
Netherlands,2022,47.791,"Basic, total"
Netherlands,2021,47.549,"Basic, total"
Netherlands,2020,43.11,"Basic, total"
Netherlands,2019,44.928,"Basic, total"
Netherlands,2018,44.672,"Basic, total"
Netherlands,2017,44.6,"Basic, total"
North Macedonia,2023,30.178,"Basic, total"
North Macedonia,2022,28.157,"Basic, total"
North Macedonia,2021,29.848,"Basic, total"
North Macedonia,2020,31.663,"Basic, total"
North Macedonia,2019,33.608,"Basic, total"
North Macedonia,2018,33.315,"Basic, total"
North Macedonia,2017,33.45,"Basic, total"
Norway,2023,50.048,"Basic, total"
Norway,2022,49.994,"Basic, total"
Norway,2021,54.638,"Basic, total"
Norway,2020,49.848,"Basic, total"
Norway,2019,50.697,"Basic, total"
Norway,2018,49.489,"Basic, total"
Norway,2017,50.673,"Basic, total"
Poland,2023,40.235,"Basic, total"
Poland,2022,41.637,"Basic, total"
Poland,2021,41.706,"Basic, total"
Poland,2020,43.456,"Basic, total"
Poland,2019,43.525,"Basic, total"
Poland,2018,44.015,"Basic, total"
Poland,2017,44.495,"Basic, total"
Portugal,2023,44.936,"Basic, total"
Portugal,2022,45.396,"Basic, total"
Portugal,2021,43.664,"Basic, total"
Portugal,2020,46.757,"Basic, total"
Portugal,2019,49.169,"Basic, total"
Portugal,2018,50.291,"Basic, total"
Portugal,2017,51.355,"Basic, total"
Romania,2023,27.232,"Basic, total"
Romania,2022,25.937,"Basic, total"
Romania,2021,25.019,"Basic, total"
Romania,2020,32.09,"Basic, total"
Romania,2019,32.476,"Basic, total"
Romania,2018,31.656,"Basic, total"
Romania,2017,32.224,"Basic, total"
Serbia,2023,35.174,"Basic, total"
Serbia,2022,34.655,"Basic, total"
Serbia,2021,34.559,"Basic, total"
Serbia,2020,32.37,"Basic, total"
Serbia,2019,33.887,"Basic, total"
Serbia,2018,32.909,"Basic, total"
Serbia,2017,33.239,"Basic, total"
Slovenia,2023,26.017,"Basic, total"
Slovenia,2022,23.41,"Basic, total"
Slovenia,2021,22.505,"Basic, total"
Slovenia,2020,22.587,"Basic, total"
Slovenia,2019,25.185,"Basic, total"
Slovenia,2018,27.539,"Basic, total"
Slovenia,2017,27.856,"Basic, total"
Spain,2023,45.193,"Basic, total"
Spain,2022,44.854,"Basic, total"
Spain,2021,44.95,"Basic, total"
Spain,2020,45.256,"Basic, total"
