Country Name,Disaggregation,Average Labor participation rate from 2017-2023
Albania,"Advanced, total",73.59633333333333
Albania,"Basic, total",53.81066666666666
Albania,"Intermediate, total",62.845333333333336
Austria,"Advanced, total",77.6712857142857
Austria,"Basic, total",37.607142857142854
Austria,"Intermediate, total",63.14771428571429
Belgium,"Advanced, total",75.48057142857144
Belgium,"Basic, total",28.051714285714286
Belgium,"Intermediate, total",58.11014285714286
Bosnia and Herzegovina,"Advanced, total",78.56428571428572
Bosnia and Herzegovina,"Basic, total",23.448428571428572
Bosnia and Herzegovina,"Intermediate, total",57.46
Bulgaria,"Advanced, total",75.478
Bulgaria,"Basic, total",28.038
Bulgaria,"Intermediate, total",60.602714285714285
Croatia,"Advanced, total",72.20485714285715
Croatia,"Basic, total",17.47585714285714
Croatia,"Intermediate, total",59.51914285714286
Denmark,"Advanced, total",77.08942857142857
Denmark,"Basic, total",43.950428571428574
Denmark,"Intermediate, total",65.86842857142857
Estonia,"Advanced, total",79.98442857142857
Estonia,"Basic, total",40.402142857142856
Estonia,"Intermediate, total",72.273
Finland,"Advanced, total",74.30171428571428
Finland,"Basic, total",29.232142857142858
Finland,"Intermediate, total",65.70328571428571
France,"Advanced, total",76.75857142857141
France,"Basic, total",28.729714285714287
France,"Intermediate, total",59.296285714285716
Germany,"Advanced, total",73.42814285714284
Germany,"Basic, total",42.18271428571428
Germany,"Intermediate, total",63.838428571428565
Greece,"Advanced, total",74.91799999999999
Greece,"Basic, total",29.031714285714287
Greece,"Intermediate, total",59.44614285714285
Hungary,"Advanced, total",74.78057142857142
Hungary,"Basic, total",29.60242857142857
Hungary,"Intermediate, total",64.33000000000001
Iceland,"Advanced, total",88.25528571428572
Iceland,"Basic, total",66.37071428571429
Iceland,"Intermediate, total",78.148
Ireland,"Advanced, total",81.71357142857143
Ireland,"Basic, total",30.439
Ireland,"Intermediate, total",66.56071428571428
Italy,"Advanced, total",75.03314285714285
Italy,"Basic, total",33.67185714285714
Italy,"Intermediate, total",62.60071428571428
Latvia,"Advanced, total",81.50942857142857
Latvia,"Basic, total",34.520714285714284
Latvia,"Intermediate, total",66.009
Lithuania,"Advanced, total",82.29928571428572
Lithuania,"Basic, total",19.842714285714287
Lithuania,"Intermediate, total",61.09028571428571
Luxembourg,"Advanced, total",79.84628571428571
Luxembourg,"Basic, total",39.328857142857146
Luxembourg,"Intermediate, total",58.55228571428571
Malta,"Advanced, total",88.28114285714285
Malta,"Basic, total",49.00828571428571
Malta,"Intermediate, total",74.28785714285713
Montenegro,"Advanced, total",80.09483333333333
Montenegro,"Basic, total",23.03816666666667
Montenegro,"Intermediate, total",59.64025
Netherlands,"Advanced, total",79.535
Netherlands,"Basic, total",46.02885714285714
Netherlands,"Intermediate, total",70.114
North Macedonia,"Advanced, total",79.155
North Macedonia,"Basic, total",31.459857142857143
North Macedonia,"Intermediate, total",64.14514285714286
Norway,"Advanced, total",82.66499999999999
Norway,"Basic, total",50.76957142857143
Norway,"Intermediate, total",67.421
Poland,"Advanced, total",81.01571428571428
Poland,"Basic, total",42.72414285714286
Poland,"Intermediate, total",58.89457142857143
Portugal,"Advanced, total",83.10828571428571
Portugal,"Basic, total",47.36685714285714
Portugal,"Intermediate, total",74.07942857142858
Romania,"Advanced, total",82.42742857142856
Romania,"Basic, total",29.51914285714286
Romania,"Intermediate, total",60.36071428571428
Serbia,"Advanced, total",72.70214285714285
Serbia,"Basic, total",33.82757142857143
Serbia,"Intermediate, total",61.676
Slovenia,"Advanced, total",79.91228571428572
Slovenia,"Basic, total",25.014142857142854
Slovenia,"Intermediate, total",59.70328571428571
Spain,"Advanced, total",79.188
Spain,"Basic, total",46.42214285714285
Spain,"Intermediate, total",64.44585714285714
Sweden,"Advanced, total",81.27642857142857
Sweden,"Basic, total",47.12071428571429
Sweden,"Intermediate, total",73.297
Switzerland,"Advanced, total",80.91571428571429
Switzerland,"Basic, total",51.34242857142857
Switzerland,"Intermediate, total",66.07385714285714
United Kingdom,"Advanced, total",85.37028571428571
United Kingdom,"Basic, total",64.84657142857142
United Kingdom,"Intermediate, total",75.20142857142856
