Country,Year,Population Percent,Educational Level,Income,Employment Rate (%),Gini Index(0-100)
Belgium,2017,27.2,Level 0-2,18783.0,44.9,26.1
Bulgaria,2017,21.4,Level 0-2,2425.0,43.6,40.2
Czechia,2017,12.1,Level 0-2,7234.0,49.2,24.5
Denmark,2017,26.7,Level 0-2,28743.0,59.4,27.6
Germany,2017,19.8,Level 0-2,18101.0,58.5,29.1
Estonia,2017,17.7,Level 0-2,8482.0,65.6,31.6
Ireland,2017,21.8,Level 0-2,20786.0,50.5,30.6
Greece,2017,29.3,Level 0-2,6677.0,50.6,33.4
Spain,2017,41.8,Level 0-2,12395.0,54.6,34.1
France,2017,25.2,Level 0-2,21218.0,52.7,28.8
Croatia,2017,19.8,Level 0-2,5088.0,34.3,29.9
Italy,2017,40.9,Level 0-2,14841.0,51.2,32.7
Cyprus,2017,22.9,Level 0-2,12802.0,57.0,30.8
Latvia,2017,15.2,Level 0-2,5602.0,53.7,34.5
Lithuania,2017,12.0,Level 0-2,5035.0,44.1,37.6
Luxembourg,2017,30.5,Level 0-2,31907.0,56.4,29.2
Hungary,2017,21.1,Level 0-2,4166.0,54.7,28.1
Malta,2017,44.2,Level 0-2,13887.0,58.7,28.2
Netherlands,2017,26.6,Level 0-2,22578.0,63.4,27.1
Austria,2017,19.3,Level 0-2,21858.0,55.0,27.9
Poland,2017,13.9,Level 0-2,4896.0,38.4,29.2
Portugal,2017,51.6,Level 0-2,8572.0,65.9,33.5
Romania,2017,27.0,Level 0-2,1982.0,39.8,33.1
Slovenia,2017,16.7,Level 0-2,11125.0,49.4,23.7
Slovakia,2017,14.8,Level 0-2,5443.0,28.6,23.2
Finland,2017,18.4,Level 0-2,24203.0,53.6,25.3
Sweden,2017,21.1,Level 0-2,23112.0,61.5,28.0
Iceland,2017,29.7,Level 0-2,35664.0,77.9,25.2
Norway,2017,24.9,Level 0-2,36161.0,60.8,26.1
Switzerland,2017,17.8,Level 0-2,38963.0,67.7,30.1
North Macedonia,2017,32.0,Level 0-2,2018.0,34.9,32.4
Serbia,2017,23.0,Level 0-2,1950.0,47.3,37.8
Türkiye,2017,63.4,Level 0-2,4385.0,49.3,43.0
Belgium,2018,26.3,Level 0-2,19418.0,44.6,25.7
Bulgaria,2018,21.5,Level 0-2,2507.0,45.4,39.6
Czechia,2018,12.1,Level 0-2,7924.0,50.9,24.0
Denmark,2018,26.5,Level 0-2,30684.0,59.4,27.8
Germany,2018,19.6,Level 0-2,19276.0,59.5,31.1
Estonia,2018,17.9,Level 0-2,9370.0,65.5,30.6
Ireland,2018,21.5,Level 0-2,21948.0,51.4,28.9
Greece,2018,28.7,Level 0-2,6896.0,51.4,32.3
Spain,2018,40.8,Level 0-2,12833.0,56.6,33.2
France,2018,24.4,Level 0-2,21580.0,53.0,28.5
Croatia,2018,18.6,Level 0-2,5382.0,36.7,29.7
Italy,2018,40.2,Level 0-2,15184.0,52.0,33.4
Cyprus,2018,21.9,Level 0-2,13279.0,61.6,29.1
Latvia,2018,15.3,Level 0-2,6022.0,54.4,35.6
Lithuania,2018,11.7,Level 0-2,5903.0,46.9,36.9
Luxembourg,2018,27.6,Level 0-2,31028.0,58.9,31.3
Hungary,2018,20.1,Level 0-2,4329.0,56.8,28.7
Malta,2018,41.0,Level 0-2,14248.0,61.0,28.7
Netherlands,2018,26.0,Level 0-2,23271.0,64.8,27.4
Austria,2018,18.9,Level 0-2,22412.0,56.7,26.8
Poland,2018,13.5,Level 0-2,5333.0,40.4,27.8
Portugal,2018,49.9,Level 0-2,8843.0,68.1,32.1
Romania,2018,26.3,Level 0-2,2328.0,40.2,35.1
Slovenia,2018,16.4,Level 0-2,11455.0,50.8,23.4
Slovakia,2018,14.4,Level 0-2,5647.0,27.8,20.9
Finland,2018,17.7,Level 0-2,24365.0,55.7,25.9
Sweden,2018,20.9,Level 0-2,23182.0,62.0,27.0
Iceland,2018,29.0,Level 0-2,41111.0,77.0,23.2
Norway,2018,23.9,Level 0-2,36117.0,61.2,24.8
Switzerland,2018,17.2,Level 0-2,38207.0,69.2,29.7
North Macedonia,2018,31.6,Level 0-2,2076.0,36.3,31.9
Serbia,2018,22.5,Level 0-2,1941.0,47.5,35.6
Türkiye,2018,62.3,Level 0-2,3985.0,49.5,43.0
Belgium,2019,25.9,Level 0-2,20783.0,45.3,25.1
Bulgaria,2019,21.5,Level 0-2,2868.0,50.0,40.8
Czechia,2019,12.3,Level 0-2,9012.0,53.4,24.0
Denmark,2019,26.0,Level 0-2,32748.0,59.5,27.5
Germany,2019,19.5,Level 0-2,19521.0,60.6,29.7
Estonia,2019,17.1,Level 0-2,10104.0,63.3,30.5
Ireland,2019,21.0,Level 0-2,22441.0,52.3,28.0
Greece,2019,25.9,Level 0-2,7386.0,51.7,31.0
Spain,2019,39.6,Level 0-2,13252.0,57.8,33.0
France,2019,23.4,Level 0-2,21261.0,52.6,29.2
Croatia,2019,18.0,Level 0-2,5900.0,38.9,29.2
Italy,2019,39.7,Level 0-2,15682.0,52.3,32.8
Cyprus,2019,21.0,Level 0-2,14222.0,64.0,31.1
Latvia,2019,14.9,Level 0-2,6915.0,56.3,35.2
Lithuania,2019,11.1,Level 0-2,6869.0,47.9,35.4
Luxembourg,2019,26.7,Level 0-2,31154.0,57.6,32.3
Hungary,2019,19.9,Level 0-2,4896.0,56.5,28.0
Malta,2019,38.8,Level 0-2,14817.0,63.6,28.0
Netherlands,2019,25.5,Level 0-2,23875.0,65.4,26.8
Austria,2019,18.7,Level 0-2,23018.0,56.8,27.5
Poland,2019,13.2,Level 0-2,5850.0,43.2,28.5
Portugal,2019,47.5,Level 0-2,9482.0,68.3,31.9
Romania,2019,25.1,Level 0-2,2570.0,41.6,34.8
Slovenia,2019,15.8,Level 0-2,12224.0,50.3,23.9
Slovakia,2019,14.5,Level 0-2,5986.0,27.5,22.8
Finland,2019,16.9,Level 0-2,24150.0,55.0,26.2
Sweden,2019,20.8,Level 0-2,20805.0,60.8,27.6
Iceland,2019,27.6,Level 0-2,37804.0,76.6,23.7
Norway,2019,23.7,Level 0-2,36422.0,61.5,25.4
Switzerland,2019,16.5,Level 0-2,35700.0,69.7,30.6
North Macedonia,2019,30.6,Level 0-2,2137.0,38.3,30.7
Serbia,2019,22.1,Level 0-2,2472.0,50.0,33.3
Türkiye,2019,60.5,Level 0-2,3352.0,47.2,41.7
Belgium,2020,25.0,Level 0-2,21586.0,44.3,25.4
Bulgaria,2020,21.0,Level 0-2,3140.0,47.0,40.0
Czechia,2020,12.3,Level 0-2,9614.0,54.7,24.2
Denmark,2020,25.9,Level 0-2,30093.0,59.0,27.3
Germany,2020,20.0,Level 0-2,24020.0,60.0,30.5
Estonia,2020,16.8,Level 0-2,11165.0,61.4,30.5
Ireland,2020,19.6,Level 0-2,24183.0,49.9,27.6
Greece,2020,24.3,Level 0-2,7568.0,49.1,31.4
Spain,2020,38.2,Level 0-2,14035.0,55.4,32.1
France,2020,22.3,Level 0-2,19329.0,53.4,29.2
Croatia,2020,17.4,Level 0-2,6530.0,38.2,28.3
Italy,2020,39.5,Level 0-2,16265.0,50.5,32.5
Cyprus,2020,20.5,Level 0-2,14970.0,63.9,29.3
Latvia,2020,14.6,Level 0-2,7671.0,58.7,34.5
Lithuania,2020,10.8,Level 0-2,7694.0,48.2,35.1
Luxembourg,2020,27.2,Level 0-2,31666.0,56.9,31.2
Hungary,2020,19.6,Level 0-2,5109.0,55.6,28.0
Malta,2020,36.9,Level 0-2,15550.0,63.0,30.3
Netherlands,2020,24.0,Level 0-2,25137.0,65.3,28.2
Austria,2020,18.7,Level 0-2,23227.0,54.4,27.0
Poland,2020,12.9,Level 0-2,6569.0,42.6,27.2
Portugal,2020,45.4,Level 0-2,10019.0,67.5,31.2
Romania,2020,23.7,Level 0-2,2818.0,40.5,33.8
Slovenia,2020,14.5,Level 0-2,12762.0,47.1,23.5
Slovakia,2020,13.5,Level 0-2,6250.0,25.8,20.9
Finland,2020,15.9,Level 0-2,25126.0,54.8,26.5
Sweden,2020,20.7,Level 0-2,22028.0,56.9,26.9
Norway,2020,23.5,Level 0-2,37801.0,60.8,25.3
Switzerland,2020,16.2,Level 0-2,36874.0,70.1,31.2
North Macedonia,2020,29.7,Level 0-2,2362.0,37.1,31.4
Serbia,2020,21.3,Level 0-2,2935.0,49.0,33.3
Türkiye,2020,58.7,Level 0-2,3461.0,44.0,43.4
Belgium,2021,22.7,Level 0-2,21323.0,44.7,24.1
Bulgaria,2021,20.5,Level 0-2,3904.0,46.2,39.7
Czechia,2021,12.0,Level 0-2,9695.0,53.7,24.8
Denmark,2021,25.5,Level 0-2,31276.0,61.3,27.0
Germany,2021,22.0,Level 0-2,22677.0,61.8,31.2
Estonia,2021,16.7,Level 0-2,11475.0,62.7,30.6
Ireland,2021,17.7,Level 0-2,25406.0,51.4,26.6
Greece,2021,23.5,Level 0-2,7376.0,52.5,32.4
Spain,2021,38.3,Level 0-2,13550.0,56.9,33.0
France,2021,22.1,Level 0-2,19866.0,51.8,29.3
Croatia,2021,16.8,Level 0-2,6618.0,42.3,29.2
Italy,2021,39.2,Level 0-2,15938.0,50.8,32.9
Cyprus,2021,19.2,Level 0-2,15054.0,64.8,29.4
Latvia,2021,14.2,Level 0-2,7892.0,56.7,35.7
Lithuania,2021,10.9,Level 0-2,8789.0,51.5,35.4
Luxembourg,2021,25.1,Level 0-2,34895.0,59.6,29.6
Hungary,2021,19.1,Level 0-2,4971.0,57.7,27.6
Malta,2021,34.0,Level 0-2,16181.0,64.5,31.2
Netherlands,2021,23.6,Level 0-2,26055.0,66.7,26.4
Austria,2021,18.5,Level 0-2,23439.0,55.0,26.7
Poland,2021,12.9,Level 0-2,6879.0,46.9,26.8
Portugal,2021,42.6,Level 0-2,10033.0,68.8,33.0
Romania,2021,21.6,Level 0-2,3133.0,42.5,34.3
Slovenia,2021,13.3,Level 0-2,13312.0,49.5,23.0
Slovakia,2021,13.2,Level 0-2,6199.0,26.9,21.8
Finland,2021,18.2,Level 0-2,26241.0,53.2,25.7
Sweden,2021,20.2,Level 0-2,21815.0,56.5,26.8
Norway,2021,24.7,Level 0-2,34828.0,61.6,25.9
Switzerland,2021,17.5,Level 0-2,40381.0,66.5,31.4
Serbia,2021,21.5,Level 0-2,3019.0,47.6,33.3
Türkiye,2021,56.7,Level 0-2,2978.0,47.0,42.5
Belgium,2022,21.7,Level 0-2,21914.0,46.2,24.9
Bulgaria,2022,19.6,Level 0-2,3561.0,50.2,38.4
Czechia,2022,12.3,Level 0-2,10958.0,55.1,24.8
Denmark,2022,25.8,Level 0-2,34441.0,62.4,27.7
Germany,2022,23.3,Level 0-2,22514.0,65.1,29.0
Estonia,2022,16.9,Level 0-2,13352.0,67.3,31.9
Ireland,2022,17.5,Level 0-2,26922.0,53.9,26.9
Greece,2022,22.7,Level 0-2,8143.0,55.5,31.4
Spain,2022,38.1,Level 0-2,14712.0,58.9,32.0
France,2022,21.3,Level 0-2,19894.0,53.5,29.8
Croatia,2022,16.0,Level 0-2,7194.0,41.3,28.5
Italy,2022,38.8,Level 0-2,17139.0,52.8,32.7
Cyprus,2022,18.4,Level 0-2,15466.0,66.8,29.4
Latvia,2022,14.9,Level 0-2,8682.0,58.7,34.3
Lithuania,2022,11.3,Level 0-2,9040.0,49.0,36.2
Luxembourg,2022,24.2,Level 0-2,36595.0,61.1,29.1
Hungary,2022,18.6,Level 0-2,5818.0,58.0,27.4
Malta,2022,31.5,Level 0-2,17451.0,66.0,31.1
Netherlands,2022,23.0,Level 0-2,27595.0,68.1,26.3
Austria,2022,18.6,Level 0-2,23130.0,55.6,27.8
Poland,2022,12.7,Level 0-2,7614.0,47.2,26.3
Portugal,2022,41.5,Level 0-2,10083.0,69.7,32.0
Romania,2022,20.7,Level 0-2,3658.0,44.9,32.0
Slovenia,2022,13.8,Level 0-2,14514.0,50.0,23.1
Slovakia,2022,12.8,Level 0-2,6301.0,31.3,21.2
Finland,2022,18.1,Level 0-2,26461.0,55.0,26.6
Sweden,2022,19.5,Level 0-2,23838.0,59.9,27.6
Norway,2022,25.0,Level 0-2,37643.0,63.0,27.5
Switzerland,2022,18.6,Level 0-2,38675.0,66.4,31.1
Serbia,2022,20.5,Level 0-2,3498.0,50.1,32.0
Türkiye,2022,54.9,Level 0-2,3199.0,49.1,45.3
Belgium,2023,22.5,Level 0-2,23600.0,46.8,24.2
Bulgaria,2023,18.7,Level 0-2,4172.0,50.2,37.2
Czechia,2023,13.4,Level 0-2,11887.0,57.8,24.4
Denmark,2023,25.6,Level 0-2,34889.0,61.7,28.2
Germany,2023,23.1,Level 0-2,23687.0,66.1,29.4
Estonia,2023,17.5,Level 0-2,14043.0,67.6,31.8
Ireland,2023,17.4,Level 0-2,28371.0,54.4,27.4
Greece,2023,22.4,Level 0-2,8742.0,57.0,31.8
Spain,2023,37.7,Level 0-2,15769.0,60.5,31.5
France,2023,21.1,Level 0-2,20832.0,53.8,29.7
Croatia,2023,15.2,Level 0-2,7999.0,39.3,29.7
Italy,2023,36.7,Level 0-2,18175.0,53.6,31.5
Cyprus,2023,17.7,Level 0-2,16403.0,66.5,29.6
Latvia,2023,16.0,Level 0-2,10206.0,60.3,34.0
Lithuania,2023,11.6,Level 0-2,9314.0,50.2,35.7
Luxembourg,2023,23.7,Level 0-2,37045.0,62.0,30.6
Hungary,2023,18.1,Level 0-2,5868.0,60.1,29.0
Malta,2023,29.6,Level 0-2,18254.0,68.8,33.0
Netherlands,2023,23.6,Level 0-2,27755.0,69.7,26.5
Austria,2023,18.5,Level 0-2,26533.0,55.6,28.1
Poland,2023,12.0,Level 0-2,8214.0,48.8,27.0
Portugal,2023,41.1,Level 0-2,11098.0,70.5,33.7
Romania,2023,22.3,Level 0-2,4198.0,45.3,31.0
Slovenia,2023,16.4,Level 0-2,15487.0,53.7,23.4
Slovakia,2023,12.8,Level 0-2,6585.0,33.5,21.6
Finland,2023,18.5,Level 0-2,29246.0,55.0,26.6
Sweden,2023,19.2,Level 0-2,23571.0,61.8,29.5
Norway,2023,24.1,Level 0-2,40909.0,60.9,24.7
Switzerland,2023,18.5,Level 0-2,44282.0,67.5,31.5
Türkiye,2023,53.1,Level 0-2,3402.0,48.9,44.2
Belgium,2017,37.1,Level 3-4,23847.0,66.7,26.1
Bulgaria,2017,54.1,Level 3-4,4698.0,71.5,40.2
Czechia,2017,66.5,Level 3-4,9493.0,79.4,24.5
Denmark,2017,41.1,Level 3-4,31947.0,78.6,27.6
Germany,2017,55.4,Level 3-4,23387.0,79.6,29.1
Estonia,2017,48.7,Level 3-4,10042.0,77.2,31.6
Ireland,2017,37.8,Level 3-4,24602.0,69.5,30.6
Greece,2017,43.6,Level 3-4,8303.0,52.9,33.4
Spain,2017,24.9,Level 3-4,16083.0,63.4,34.1
France,2017,43.3,Level 3-4,23637.0,70.3,28.8
Croatia,2017,59.6,Level 3-4,6872.0,63.7,29.9
Italy,2017,42.6,Level 3-4,19614.0,65.3,32.7
Cyprus,2017,39.0,Level 3-4,15824.0,68.5,30.8
Latvia,2017,54.8,Level 3-4,7527.0,71.6,34.5
Lithuania,2017,53.2,Level 3-4,6738.0,69.7,37.6
Luxembourg,2017,35.4,Level 3-4,41006.0,68.3,29.2
Hungary,2017,58.0,Level 3-4,5496.0,75.9,28.1
Malta,2017,33.7,Level 3-4,17972.0,80.3,28.2
Netherlands,2017,41.3,Level 3-4,25097.0,80.6,27.1
Austria,2017,51.0,Level 3-4,27376.0,75.1,27.9
Poland,2017,59.8,Level 3-4,6200.0,66.4,29.2
Portugal,2017,26.6,Level 3-4,11092.0,74.8,33.5
Romania,2017,57.7,Level 3-4,3117.0,64.1,33.1
Slovenia,2017,54.6,Level 3-4,12905.0,70.6,23.7
Slovakia,2017,64.5,Level 3-4,7699.0,75.0,23.2
Finland,2017,45.2,Level 3-4,25267.0,70.7,25.3
Sweden,2017,42.9,Level 3-4,29809.0,81.7,28.0
Iceland,2017,35.0,Level 3-4,37993.0,88.4,25.2
Norway,2017,38.3,Level 3-4,42723.0,79.6,26.1
Switzerland,2017,45.5,Level 3-4,48300.0,81.0,30.1
North Macedonia,2017,50.1,Level 3-4,2825.0,58.4,32.4
Serbia,2017,57.2,Level 3-4,2831.0,58.6,37.8
Türkiye,2017,20.0,Level 3-4,6246.0,57.6,43.0
Belgium,2018,37.7,Level 3-4,24855.0,67.9,25.7
Bulgaria,2018,53.6,Level 3-4,4598.0,72.6,39.6
Czechia,2018,66.2,Level 3-4,10400.0,80.7,24.0
Denmark,2018,40.9,Level 3-4,33095.0,79.6,27.8
Germany,2018,55.2,Level 3-4,23869.0,80.2,31.1
Estonia,2018,48.0,Level 3-4,11164.0,78.3,30.6
Ireland,2018,38.0,Level 3-4,27719.0,71.1,28.9
Greece,2018,43.6,Level 3-4,8524.0,54.3,32.3
Spain,2018,25.2,Level 3-4,16233.0,64.3,33.2
France,2018,42.8,Level 3-4,23399.0,71.0,28.5
Croatia,2018,59.5,Level 3-4,7311.0,64.8,29.7
Italy,2018,42.6,Level 3-4,20040.0,65.6,33.4
Cyprus,2018,38.7,Level 3-4,16305.0,71.6,29.1
Latvia,2018,54.7,Level 3-4,8077.0,73.8,35.6
Lithuania,2018,52.3,Level 3-4,7602.0,71.9,36.9
Luxembourg,2018,34.2,Level 3-4,39447.0,68.1,31.3
Hungary,2018,58.2,Level 3-4,6166.0,76.9,28.7
Malta,2018,34.3,Level 3-4,18351.0,80.9,28.7
Netherlands,2018,40.9,Level 3-4,25597.0,81.5,27.4
Austria,2018,51.0,Level 3-4,27750.0,76.0,26.8
Poland,2018,59.3,Level 3-4,6776.0,67.5,27.8
Portugal,2018,27.5,Level 3-4,11276.0,76.2,32.1
Romania,2018,58.2,Level 3-4,3886.0,65.4,35.1
Slovenia,2018,54.9,Level 3-4,13455.0,72.7,23.4
Slovakia,2018,63.6,Level 3-4,8212.0,76.4,20.9
Finland,2018,45.1,Level 3-4,26089.0,73.0,25.9
Sweden,2018,42.0,Level 3-4,29730.0,82.2,27.0
Iceland,2018,34.5,Level 3-4,43431.0,86.8,23.2
Norway,2018,38.6,Level 3-4,42608.0,80.8,24.8
Switzerland,2018,45.0,Level 3-4,47931.0,80.8,29.7
North Macedonia,2018,50.9,Level 3-4,3003.0,59.5,31.9
Serbia,2018,57.1,Level 3-4,2950.0,60.2,35.6
Türkiye,2018,20.4,Level 3-4,5475.0,58.3,43.0
Belgium,2019,38.1,Level 3-4,25648.0,68.8,25.1
Bulgaria,2019,53.9,Level 3-4,5544.0,74.8,40.8
Czechia,2019,66.1,Level 3-4,11388.0,81.3,24.0
Denmark,2019,40.6,Level 3-4,32913.0,80.1,27.5
Germany,2019,54.5,Level 3-4,25326.0,80.8,29.7
Estonia,2019,48.2,Level 3-4,12021.0,79.2,30.5
Ireland,2019,38.3,Level 3-4,26986.0,72.4,28.0
Greece,2019,46.3,Level 3-4,8905.0,56.2,31.0
Spain,2019,25.3,Level 3-4,16518.0,65.0,33.0
France,2019,42.8,Level 3-4,24318.0,70.7,29.2
Croatia,2019,59.9,Level 3-4,8076.0,66.3,29.2
Italy,2019,42.8,Level 3-4,20013.0,66.3,32.8
Cyprus,2019,38.6,Level 3-4,17668.0,72.7,31.1
Latvia,2019,53.8,Level 3-4,8881.0,73.8,35.2
Lithuania,2019,51.0,Level 3-4,8557.0,71.6,35.4
Luxembourg,2019,32.3,Level 3-4,40321.0,67.4,32.3
Hungary,2019,57.6,Level 3-4,6507.0,78.2,28.0
Malta,2019,34.1,Level 3-4,18856.0,80.6,28.0
Netherlands,2019,39.7,Level 3-4,25997.0,82.7,26.8
Austria,2019,50.2,Level 3-4,29008.0,76.8,27.5
Poland,2019,58.2,Level 3-4,7415.0,68.2,28.5
Portugal,2019,28.7,Level 3-4,11760.0,77.4,31.9
Romania,2019,58.9,Level 3-4,4498.0,66.2,34.8
Slovenia,2019,54.9,Level 3-4,14670.0,73.3,23.9
Slovakia,2019,62.3,Level 3-4,8936.0,77.5,22.8
