Country,Year,Percentage,Type
Croatia,2023,14430,Male
Italy,2023,27713,Male
Cyprus,2023,24907,Male
Latvia,2023,18078,Male
Lithuania,2023,17695,Male
Luxembourg,2023,62098,Male
Hungary,2023,11255,Male
Malta,2023,28071,Male
Netherlands,2023,36973,Male
Austria,2023,37859,Male
Poland,2023,13563,Male
Portugal,2023,18002,Male
Romania,2023,11403,Male
Slovenia,2023,22940,Male
Slovakia,2023,10968,Male
Finland,2023,36267,Male
Sweden,2023,33613,Male
Iceland,2023,:,Male
Norway,2023,48945,Male
Switzerland,2023,64840,Male
United Kingdom,2023,:,Male
Montenegro,2023,:,Male
North Macedonia,2023,:,Male
Albania,2023,:,Male
Serbia,2023,:,Male
Türkiye,2023,5376,Male
Croatia,2022,12867,Male
Italy,2022,25996,Male
Cyprus,2022,23891,Male
Latvia,2022,17236,Male
Lithuania,2022,15823,Male
Luxembourg,2022,57676,Male
Hungary,2022,9660,Male
Malta,2022,28862,Male
Netherlands,2022,35695,Male
Austria,2022,34192,Male
Poland,2022,12267,Male
Portugal,2022,16744,Male
Romania,2022,9614,Male
Slovenia,2022,20894,Male
Slovakia,2022,11041,Male
Finland,2022,35896,Male
Sweden,2022,33141,Male
Iceland,2022,:,Male
Norway,2022,45585,Male
Switzerland,2022,60827,Male
United Kingdom,2022,:,Male
Montenegro,2022,6429,Male
North Macedonia,2022,:,Male
Albania,2022,:,Male
Serbia,2022,6428,Male
Türkiye,2022,5109,Male
Croatia,2021,12093,Male
Italy,2021,25187,Male
Cyprus,2021,23011,Male
Latvia,2021,15168,Male
Lithuania,2021,14887,Male
Luxembourg,2021,52840,Male
Hungary,2021,9605,Male
Malta,2021,27593,Male
Netherlands,2021,34700,Male
Austria,2021,33380,Male
Poland,2021,11565,Male
Portugal,2021,17868,Male
Romania,2021,9126,Male
Slovenia,2021,19898,Male
Slovakia,2021,10739,Male
Finland,2021,33599,Male
Sweden,2021,32057,Male
Iceland,2021,:,Male
Norway,2021,41980,Male
Switzerland,2021,58521,Male
United Kingdom,2021,:,Male
Montenegro,2021,5967,Male
North Macedonia,2021,:,Male
Albania,2021,4611,Male
Serbia,2021,6149,Male
Türkiye,2021,5238,Male
Croatia,2020,11667,Male
Italy,2020,25432,Male
Cyprus,2020,23039,Male
Latvia,2020,14256,Male
Lithuania,2020,13800,Male
Luxembourg,2020,51664,Male
Hungary,2020,9741,Male
Malta,2020,25233,Male
Netherlands,2020,32663,Male
Austria,2020,33143,Male
Poland,2020,11448,Male
Portugal,2020,16500,Male
Romania,2020,8251,Male
Slovenia,2020,19508,Male
Slovakia,2020,10909,Male
Finland,2020,34127,Male
Sweden,2020,30557,Male
Iceland,2020,:,Male
Norway,2020,47144,Male
Switzerland,2020,56425,Male
United Kingdom,2020,:,Male
Montenegro,2020,6074,Male
North Macedonia,2020,4359,Male
Albania,2020,4580,Male
Serbia,2020,5556,Male
Türkiye,2020,5769,Male
Croatia,2019,11091,Male
Italy,2019,24750,Male
Cyprus,2019,21874,Male
Latvia,2019,13652,Male
Lithuania,2019,12157,Male
Luxembourg,2019,47289,Male
Hungary,2019,8578,Male
Malta,2019,22996,Male
Netherlands,2019,31326,Male
Austria,2019,31805,Male
Poland,2019,10386,Male
Portugal,2019,15956,Male
Romania,2019,7696,Male
Slovenia,2019,18561,Male
Slovakia,2019,10631,Male
Finland,2019,32936,Male
Sweden,2019,29747,Male
Iceland,2019,44449,Male
Norway,2019,47018,Male
Switzerland,2019,54452,Male
United Kingdom,2019,:,Male
Montenegro,2019,5784,Male
North Macedonia,2019,4053,Male
Albania,2019,4452,Male
Serbia,2019,5073,Male
Türkiye,2019,5527,Male
Croatia,2018,10817.0,Male
Italy,2018,24399.0,Male
Cyprus,2018,20420.0,Male
Latvia,2018,12647.0,Male
Lithuania,2018,11354.0,Male
Luxembourg,2018,45639.0,Male
Hungary,2018,7845.0,Male
Malta,2018,23009.0,Male
Netherlands,2018,30893.0,Male
Austria,2018,31234.0,Male
Poland,2018,9554.0,Male
Portugal,2018,15490.0,Male
Romania,2018,6762.0,Male
Slovenia,2018,17666.0,Male
Slovakia,2018,9356.0,Male
Finland,2018,32062.0,Male
Sweden,2018,31175.0,Male
Iceland,2018,46412.0,Male
Norway,2018,47147.0,Male
Switzerland,2018,55473.0,Male
United Kingdom,2018,28955.0,Male
Montenegro,2018,5878.0,Male
North Macedonia,2018,3807.0,Male
Albania,2018,3812.0,Male
Serbia,2018,4233.0,Male
Türkiye,2018,6798.0,Male
Croatia,2017,10055,Male
Italy,2017,23498,Male
Cyprus,2017,20286,Male
Latvia,2017,10904,Male
Lithuania,2017,10250,Male
Luxembourg,2017,47915,Male
Hungary,2017,7591,Male
Malta,2017,23995,Male
Netherlands,2017,30209,Male
Austria,2017,31373,Male
Poland,2017,9117,Male
Portugal,2017,15785,Male
Romania,2017,4875,Male
Slovenia,2017,16963,Male
Slovakia,2017,8886,Male
Finland,2017,31208,Male
Sweden,2017,30529,Male
Iceland,2017,38991,Male
Norway,2017,46804,Male
Switzerland,2017,58656,Male
United Kingdom,2017,28561,Male
Montenegro,2017,5654,Male
North Macedonia,2017,3593,Male
Albania,2017,3506,Male
Serbia,2017,3827,Male
Türkiye,2017,7803,Male
Italy,2023,26355,Female
Cyprus,2023,23057,Female
Latvia,2023,15009,Female
Lithuania,2023,15453,Female
Luxembourg,2023,60083,Female
Hungary,2023,10264,Female
Malta,2023,27362,Female
Netherlands,2023,35262,Female
Austria,2023,36714,Female
