Country Name,Year,Value,Disaggregation
Africa Western and Central,2022,67.335,"Basic, female"
Africa Western and Central,2019,48.111,"Basic, female"
Central Europe and the Baltics,2023,21.619,"Basic, female"
Central Europe and the Baltics,2022,21.964,"Basic, female"
Central Europe and the Baltics,2021,20.949,"Basic, female"
Central Europe and the Baltics,2020,23.034,"Basic, female"
Central Europe and the Baltics,2019,23.96,"Basic, female"
Central Europe and the Baltics,2018,23.867,"Basic, female"
Central Europe and the Baltics,2017,24.263,"Basic, female"
Central Europe and the Baltics,2016,24.03,"Basic, female"
Central Europe and the Baltics,2015,24.817,"Basic, female"
Central Europe and the Baltics,2014,17.748,"Basic, female"
Central Europe and the Baltics,2013,17.952,"Basic, female"
Central Europe and the Baltics,2012,18.474,"Basic, female"
Central Europe and the Baltics,2011,18.69,"Basic, female"
Central Europe and the Baltics,2010,19.051,"Basic, female"
Central Europe and the Baltics,2009,19.452,"Basic, female"
Central Europe and the Baltics,2008,19.753,"Basic, female"
Central Europe and the Baltics,2007,20.09,"Basic, female"
Central Europe and the Baltics,2006,20.299,"Basic, female"
Central Europe and the Baltics,2005,20.661,"Basic, female"
Central Europe and the Baltics,2004,21.806,"Basic, female"
Central Europe and the Baltics,2003,22.835,"Basic, female"
Central Europe and the Baltics,2002,24.147,"Basic, female"
Central Europe and the Baltics,2001,27.4,"Basic, female"
Central Europe and the Baltics,2000,27.863,"Basic, female"
Central Europe and the Baltics,1999,30.244,"Basic, female"
Central Europe and the Baltics,1998,30.817,"Basic, female"
Central Europe and the Baltics,1997,33.865,"Basic, female"
Early-demographic dividend,2022,35.371,"Basic, female"
Early-demographic dividend,2021,34.381,"Basic, female"
Early-demographic dividend,2020,31.12,"Basic, female"
Early-demographic dividend,2019,31.702,"Basic, female"
Early-demographic dividend,2018,29.362,"Basic, female"
Early-demographic dividend,2012,32.026,"Basic, female"
Early-demographic dividend,2010,33.47,"Basic, female"
Early-demographic dividend,2005,34.243,"Basic, female"
East Asia & Pacific,2000,71.068,"Basic, female"
East Asia & Pacific (excluding high income),2000,71.387,"Basic, female"
East Asia & Pacific (IDA & IBRD),2000,71.387,"Basic, female"
Euro area,2023,29.24,"Basic, female"
Euro area,2022,28.857,"Basic, female"
Euro area,2021,27.941,"Basic, female"
Euro area,2020,27.516,"Basic, female"
Euro area,2019,28.363,"Basic, female"
Euro area,2018,28.453,"Basic, female"
Euro area,2017,28.851,"Basic, female"
Euro area,2016,28.771,"Basic, female"
Euro area,2015,29.132,"Basic, female"
Euro area,2014,29.48,"Basic, female"
Euro area,2013,29.885,"Basic, female"
Euro area,2012,30.241,"Basic, female"
Euro area,2011,30.356,"Basic, female"
Euro area,2010,29.555,"Basic, female"
Euro area,2009,30.23,"Basic, female"
Euro area,2008,30.111,"Basic, female"
Euro area,2007,30.255,"Basic, female"
Euro area,2006,30.173,"Basic, female"
Euro area,2005,28.991,"Basic, female"
Euro area,2004,28.654,"Basic, female"
Euro area,2003,29.244,"Basic, female"
Euro area,2002,28.915,"Basic, female"
Euro area,2001,29.069,"Basic, female"
Euro area,2000,30.675,"Basic, female"
Euro area,1999,31.326,"Basic, female"
Euro area,1998,30.572,"Basic, female"
Euro area,1997,28.982,"Basic, female"
Euro area,1996,29.191,"Basic, female"
Euro area,1995,29.237,"Basic, female"
Euro area,1994,29.175,"Basic, female"
Euro area,1993,29.466,"Basic, female"
Europe & Central Asia,2023,28.27,"Basic, female"
Europe & Central Asia,2022,27.928,"Basic, female"
Europe & Central Asia,2021,28.177,"Basic, female"
Europe & Central Asia,2020,27.515,"Basic, female"
Europe & Central Asia,2019,28.897,"Basic, female"
Europe & Central Asia,2018,29.199,"Basic, female"
Europe & Central Asia,2017,28.277,"Basic, female"
Europe & Central Asia,2016,29.384,"Basic, female"
Europe & Central Asia,2015,30.09,"Basic, female"
Europe & Central Asia,2014,29.11,"Basic, female"
Europe & Central Asia,2013,30.185,"Basic, female"
Europe & Central Asia,2012,30.537,"Basic, female"
Europe & Central Asia,2011,30.663,"Basic, female"
Europe & Central Asia,2010,30.012,"Basic, female"
Europe & Central Asia,2009,33.447,"Basic, female"
Europe & Central Asia,2008,33.564,"Basic, female"
Europe & Central Asia,2007,34.221,"Basic, female"
Europe & Central Asia,2006,34.514,"Basic, female"
Europe & Central Asia,2005,33.43,"Basic, female"
