Country,Year,GDP_PPS
Belgium,2023,118
Bulgaria,2023,64
Czechia,2023,90
Denmark,2023,125
Germany,2023,116
Estonia,2023,80
Ireland,2023,213
Greece,2023,69
Spain,2023,91
France,2023,99
Croatia,2023,76
Italy,2023,98
Cyprus,2023,97
Latvia,2023,70
Lithuania,2023,87
Luxembourg,2023,237
Hungary,2023,77
Malta,2023,107
Netherlands,2023,133
Austria,2023,120
Poland,2023,77
Portugal,2023,81
Romania,2023,78
Slovenia,2023,92
Slovakia,2023,74
Finland,2023,105
Sweden,2023,114
Iceland,2023,135
Liechtenstein,2023,:
Norway,2023,171
Switzerland,2023,154
United Kingdom,2023,99
Bosnia and Herzegovina,2023,36
Montenegro,2023,51
North Macedonia,2023,41
Albania,2023,36
Serbia,2023,49
Belgium,2022,119
Bulgaria,2022,62
Czechia,2022,89
Denmark,2022,135
Germany,2022,118
Estonia,2022,84
Ireland,2022,238
Greece,2022,67
Spain,2022,88
France,2022,98
Croatia,2022,72
Italy,2022,98
Cyprus,2022,98
Latvia,2022,69
Lithuania,2022,88
Luxembourg,2022,252
Hungary,2022,77
Malta,2022,105
Netherlands,2022,134
Austria,2022,123
Poland,2022,78
Portugal,2022,77
Romania,2022,74
Slovenia,2022,89
Slovakia,2022,71
Finland,2022,107
Sweden,2022,115
Iceland,2022,132
Liechtenstein,2022,:
Norway,2022,214
Switzerland,2022,159
United Kingdom,2022,102
Bosnia and Herzegovina,2022,34
Montenegro,2022,49
North Macedonia,2022,42
Albania,2022,34
Serbia,2022,46
Belgium,2021,117
Bulgaria,2021,60
Czechia,2021,92
Denmark,2021,134
Germany,2021,120
Estonia,2021,85
Ireland,2021,226
Greece,2021,64
Spain,2021,85
France,2021,101
Croatia,2021,70
Italy,2021,96
Cyprus,2021,94
Latvia,2021,71
Lithuania,2021,88
Luxembourg,2021,260
Hungary,2021,75
Malta,2021,109
Netherlands,2021,132
Austria,2021,121
Poland,2021,79
Portugal,2021,74
Romania,2021,72
Slovenia,2021,88
Slovakia,2021,74
Finland,2021,109
Sweden,2021,121
Iceland,2021,122
Liechtenstein,2021,:
Norway,2021,171
Switzerland,2021,156
United Kingdom,2021,98
Bosnia and Herzegovina,2021,33
Montenegro,2021,46
North Macedonia,2021,43
Albania,2021,31
Serbia,2021,45
Belgium,2020,118
Bulgaria,2020,57
Czechia,2020,96
Denmark,2020,132
Germany,2020,123
Estonia,2020,85
Ireland,2020,205
Greece,2020,62
Spain,2020,83
France,2020,104
Croatia,2020,66
Italy,2020,93
Cyprus,2020,91
Latvia,2020,69
Lithuania,2020,87
Luxembourg,2020,256
Hungary,2020,75
Malta,2020,105
Netherlands,2020,131
Austria,2020,123
Poland,2020,79
Portugal,2020,75
Romania,2020,72
Slovenia,2020,88
Slovakia,2020,74
Finland,2020,112
Sweden,2020,121
Iceland,2020,120
Liechtenstein,2020,:
Norway,2020,141
Switzerland,2020,153
United Kingdom,2020,101
Bosnia and Herzegovina,2020,33
Montenegro,2020,44
North Macedonia,2020,42
Albania,2020,30
Serbia,2020,44
Belgium,2019,117
Bulgaria,2019,55
Czechia,2019,95
Denmark,2019,125
Germany,2019,122
Estonia,2019,84
Ireland,2019,190
Greece,2019,66
Spain,2019,91
France,2019,105
Croatia,2019,67
Italy,2019,96
Cyprus,2019,93
Latvia,2019,66
Lithuania,2019,83
Luxembourg,2019,249
Hungary,2019,73
Malta,2019,106
Netherlands,2019,128
Austria,2019,124
Poland,2019,74
Portugal,2019,77
Romania,2019,69
Slovenia,2019,87
Slovakia,2019,70
Finland,2019,107
Sweden,2019,117
Iceland,2019,128
Liechtenstein,2019,:
Norway,2019,146
Switzerland,2019,152
United Kingdom,2019,103
Bosnia and Herzegovina,2019,32
Montenegro,2019,50
North Macedonia,2019,42
Albania,2019,30
Serbia,2019,42
Belgium,2018,116
Bulgaria,2018,53
Czechia,2018,93
Denmark,2018,127
Germany,2018,125
Estonia,2018,82
Ireland,2018,192
Greece,2018,66
Spain,2018,91
France,2018,103
Croatia,2018,64
Italy,2018,97
Cyprus,2018,91
Latvia,2018,66
Lithuania,2018,81
Luxembourg,2018,258
Hungary,2018,72
Malta,2018,107
Netherlands,2018,130
Austria,2018,126
Poland,2018,72
Portugal,2018,77
Romania,2018,66
Slovenia,2018,86
Slovakia,2018,70
Finland,2018,109
Sweden,2018,118
Iceland,2018,129
Liechtenstein,2018,:
Norway,2018,156
Switzerland,2018,157
United Kingdom,2018,104
Bosnia and Herzegovina,2018,32
Montenegro,2018,48
North Macedonia,2018,41
Albania,2018,30
Serbia,2018,41
Belgium,2017,117
Bulgaria,2017,52
Czechia,2017,92
Denmark,2017,128
Germany,2017,126
Estonia,2017,80
Ireland,2017,187
Greece,2017,67
Spain,2017,93
France,2017,103
Croatia,2017,63
Italy,2017,98
Cyprus,2017,89
Latvia,2017,64
Lithuania,2017,78
Luxembourg,2017,267
Hungary,2017,69
Malta,2017,106
Netherlands,2017,130
Austria,2017,125
Poland,2017,70
Portugal,2017,76
Romania,2017,63
Slovenia,2017,84
Slovakia,2017,70
Finland,2017,110
Sweden,2017,119
Iceland,2017,131
Liechtenstein,2017,:
Norway,2017,150
Switzerland,2017,158
United Kingdom,2017,107
Bosnia and Herzegovina,2017,31
Montenegro,2017,46
North Macedonia,2017,40
Albania,2017,30
Serbia,2017,40
