Country,Year,Population Percent,Educational Level,Income,Employment Rate (%)
Belgium,2017,27.2,Level 0-2,18783,44.9
Bulgaria,2017,21.4,Level 0-2,2425,43.6
Czechia,2017,12.1,Level 0-2,7234,49.2
Denmark,2017,26.7,Level 0-2,28743,59.4
Germany,2017,19.8,Level 0-2,18101,58.5
Estonia,2017,17.7,Level 0-2,8482,65.6
Ireland,2017,21.8,Level 0-2,20786,50.5
Greece,2017,29.3,Level 0-2,6677,50.6
Spain,2017,41.8,Level 0-2,12395,54.6
France,2017,25.2,Level 0-2,21218,52.7
Croatia,2017,19.8,Level 0-2,5088,34.3
Italy,2017,40.9,Level 0-2,14841,51.2
Cyprus,2017,22.9,Level 0-2,12802,57
Latvia,2017,15.2,Level 0-2,5602,53.7
Lithuania,2017,12,Level 0-2,5035,44.1
Luxembourg,2017,30.5,Level 0-2,31907,56.4
Hungary,2017,21.1,Level 0-2,4166,54.7
Malta,2017,44.2,Level 0-2,13887,58.7
Netherlands,2017,26.6,Level 0-2,22578,63.4
Austria,2017,19.3,Level 0-2,21858,55
Poland,2017,13.9,Level 0-2,4896,38.4
Portugal,2017,51.6,Level 0-2,8572,65.9
Romania,2017,27,Level 0-2,1982,39.8
Slovenia,2017,16.7,Level 0-2,11125,49.4
Slovakia,2017,14.8,Level 0-2,5443,28.6
Finland,2017,18.4,Level 0-2,24203,53.6
Sweden,2017,21.1,Level 0-2,23112,61.5
Iceland,2017,29.7,Level 0-2,35664,77.9
Norway,2017,24.9,Level 0-2,36161,60.8
Switzerland,2017,17.8,Level 0-2,38963,67.7
Montenegro,2017,19.5,Level 0-2,2617,38.2
North Macedonia,2017,32,Level 0-2,2018,34.9
Serbia,2017,23,Level 0-2,1950,47.3
Türkiye,2017,63.4,Level 0-2,4385,49.3
Belgium,2018,26.3,Level 0-2,19418.0,44.6
Bulgaria,2018,21.5,Level 0-2,2507.0,45.4
Czechia,2018,12.1,Level 0-2,7924.0,50.9
Denmark,2018,26.5,Level 0-2,30684.0,59.4
Germany,2018,19.6,Level 0-2,19276.0,59.5
Estonia,2018,17.9,Level 0-2,9370.0,65.5
Ireland,2018,21.5,Level 0-2,21948.0,51.4
Greece,2018,28.7,Level 0-2,6896.0,51.4
Spain,2018,40.8,Level 0-2,12833.0,56.6
France,2018,24.4,Level 0-2,21580.0,53
Croatia,2018,18.6,Level 0-2,5382.0,36.7
Italy,2018,40.2,Level 0-2,15184.0,52
Cyprus,2018,21.9,Level 0-2,13279.0,61.6
Latvia,2018,15.3,Level 0-2,6022.0,54.4
Lithuania,2018,11.7,Level 0-2,5903.0,46.9
Luxembourg,2018,27.6,Level 0-2,31028.0,58.9
Hungary,2018,20.1,Level 0-2,4329.0,56.8
Malta,2018,41,Level 0-2,14248.0,61
Netherlands,2018,26,Level 0-2,23271.0,64.8
Austria,2018,18.9,Level 0-2,22412.0,56.7
Poland,2018,13.5,Level 0-2,5333.0,40.4
Portugal,2018,49.9,Level 0-2,8843.0,68.1
Romania,2018,26.3,Level 0-2,2328.0,40.2
Slovenia,2018,16.4,Level 0-2,11455.0,50.8
Slovakia,2018,14.4,Level 0-2,5647.0,27.8
Finland,2018,17.7,Level 0-2,24365.0,55.7
Sweden,2018,20.9,Level 0-2,23182.0,62
Iceland,2018,29,Level 0-2,41111.0,77
Norway,2018,23.9,Level 0-2,36117.0,61.2
Switzerland,2018,17.2,Level 0-2,38207.0,69.2
Montenegro,2018,18.6,Level 0-2,2632.0,39.5
North Macedonia,2018,31.6,Level 0-2,2076.0,36.3
Serbia,2018,22.5,Level 0-2,1941.0,47.5
Türkiye,2018,62.3,Level 0-2,3985.0,49.5
Belgium,2019,25.9,Level 0-2,20783,45.3
Bulgaria,2019,21.5,Level 0-2,2868,50
Czechia,2019,12.3,Level 0-2,9012,53.4
Denmark,2019,26,Level 0-2,32748,59.5
Germany,2019,19.5,Level 0-2,19521,60.6
Estonia,2019,17.1,Level 0-2,10104,63.3
Ireland,2019,21,Level 0-2,22441,52.3
Greece,2019,25.9,Level 0-2,7386,51.7
Spain,2019,39.6,Level 0-2,13252,57.8
France,2019,23.4,Level 0-2,21261,52.6
Croatia,2019,18,Level 0-2,5900,38.9
Italy,2019,39.7,Level 0-2,15682,52.3
Cyprus,2019,21,Level 0-2,14222,64
Latvia,2019,14.9,Level 0-2,6915,56.3
Lithuania,2019,11.1,Level 0-2,6869,47.9
Luxembourg,2019,26.7,Level 0-2,31154,57.6
Hungary,2019,19.9,Level 0-2,4896,56.5
Malta,2019,38.8,Level 0-2,14817,63.6
Netherlands,2019,25.5,Level 0-2,23875,65.4
Austria,2019,18.7,Level 0-2,23018,56.8
Poland,2019,13.2,Level 0-2,5850,43.2
Portugal,2019,47.5,Level 0-2,9482,68.3
Romania,2019,25.1,Level 0-2,2570,41.6
Slovenia,2019,15.8,Level 0-2,12224,50.3
Slovakia,2019,14.5,Level 0-2,5986,27.5
Finland,2019,16.9,Level 0-2,24150,55
Sweden,2019,20.8,Level 0-2,20805,60.8
